[01:55:26][dlc.cpp:336]: Invalid supported_version in  file: mod/ugc_2397963108.mod line: 6
[01:55:26][dlc.cpp:336]: Invalid supported_version in  file: mod/ugc_2532715348.mod line: 10
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 85
" in file: "common/modifiers/00_egypt_missions.txt" near line: 85
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 93
" in file: "common/modifiers/00_egypt_missions.txt" near line: 93
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 108
" in file: "common/modifiers/00_egypt_missions.txt" near line: 108
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 113
" in file: "common/modifiers/00_egypt_missions.txt" near line: 113
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 134
" in file: "common/modifiers/00_egypt_missions.txt" near line: 134
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 138
" in file: "common/modifiers/00_egypt_missions.txt" near line: 138
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 182
" in file: "common/modifiers/00_egypt_missions.txt" near line: 182
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 194
" in file: "common/modifiers/00_egypt_missions.txt" near line: 194
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 221
" in file: "common/modifiers/00_egypt_missions.txt" near line: 221
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 232
" in file: "common/modifiers/00_egypt_missions.txt" near line: 232
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: state_fort_limit, near line: 14
" in file: "common/modifiers/00_from_events_state.txt" near line: 14
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 1204
" in file: "common/modifiers/00_from_missions.txt" near line: 1204
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 1210
" in file: "common/modifiers/00_from_missions.txt" near line: 1210
[01:55:34][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 1366
" in file: "common/modifiers/00_from_missions.txt" near line: 1366
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/gui_editor/gui_editor.gui:18 - Widget (id '54888') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/gui_editor/gui_editor.gui:18 - Widget (id '54888') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/toolstypes.gui:3 - Widget (id '48471') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/toolstypes.gui:3 - Widget (id '48471') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/toolstypes.gui:3 - Widget (id '48471') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/toolstypes.gui:3 - Widget (id '48471') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:17 - Widget (id '14124') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:176 - Widget (id '14231') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/gui_editor/gui_editor.gui:29 - Widget (id '54895') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/gui_editor/gui_editor.gui:29 - Widget (id '54895') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/gui_editor/gui_editor.gui:29 - Widget (id '54895') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/gui_editor/gui_editor.gui:29 - Widget (id '54895') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/toolstypes.gui:27 - Widget (id '48487') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/toolstypes.gui:27 - Widget (id '48487') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/toolstypes.gui:27 - Widget (id '48487') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/toolstypes.gui:27 - Widget (id '48487') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:48 - Widget (id '14145') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/toolstypes.gui:18 - Widget (id '48481') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/toolstypes.gui:18 - Widget (id '48481') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/toolstypes.gui:18 - Widget (id '48481') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/toolstypes.gui:18 - Widget (id '48481') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/defaults.gui:82 - Widget (id '15960') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:55 - Widget (id '14151') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:185 - Widget (id '14238') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:109 - Widget (id '14188') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:70 - Widget (id '14162') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:98 - Widget (id '14180') has not been destroyed
[02:13:23][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:33 - Widget (id '14137') has not been destroyed
